slug,label,loss.total_loss,loss.video_loss,loss.middle_loss,samples.generated_mse,samples.generated_psnr,samples.generated_mae,samples.middle_mse,samples.middle_psnr,samples.middle_mae,samples.full_mse,samples.full_psnr,samples.full_mae,samples.condition_mse,samples.condition_psnr,path,loss.action_loss,loss.action_loss,loss.action_loss,loss.action_loss,loss.action_loss,loss.action_loss,loss.action_loss,loss.action_loss_std,loss.action_loss_std,loss.action_loss_std,loss.action_loss_std,loss.action_loss_std,loss.action_loss_std,loss.action_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.middle_loss_std,loss.total_loss_std,loss.total_loss_std,loss.total_loss_std,loss.total_loss_std,loss.total_loss_std,loss.total_loss_std,loss.total_loss_std,loss.video_loss_std,loss.video_loss_std,loss.video_loss_std,loss.video_loss_std,loss.video_loss_std,loss.video_loss_std,loss.video_loss_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_mse_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.condition_psnr_std,samples.full_mae_std,samples.full_mae_std,samples.full_mae_std,samples.full_mae_std,samples.full_mae_std,samples.full_mae_std,samples.full_mae_std,samples.full_mse_std,samples.full_mse_std,samples.full_mse_std,samples.full_mse_std,samples.full_mse_std,samples.full_mse_std,samples.full_mse_std,samples.full_psnr_std,samples.full_psnr_std,samples.full_psnr_std,samples.full_psnr_std,samples.full_psnr_std,samples.full_psnr_std,samples.full_psnr_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mae_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_mse_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.generated_psnr_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mae_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_mse_std,samples.middle_psnr_std,samples.middle_psnr_std,samples.middle_psnr_std,samples.middle_psnr_std,samples.middle_psnr_std,samples.middle_psnr_std,samples.middle_psnr_std
v0,V0,0.2518695155158639,0.2518695155158639,0.2518695155158639,0.028122713731136173,15.62723292289385,0.10479739168658853,0.028122713731136173,15.62723292289385,0.10479739168658853,0.025011015066411346,16.13458467280013,0.09549108380451798,0.0016732757067075,27.880605747790412,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/v0/vgm_bridge_v0_lerobot_video_448x224_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.17343263471624373,0.00042156949109099654,0.00042156949109099654,0.00042156949109099654,0.00042156949109099654,0.00042156949109099654,0.00042156949109099654,0.00042156949109099654,0.9668430580443226,0.9668430580443226,0.9668430580443226,0.9668430580443226,0.9668430580443226,0.9668430580443226,0.9668430580443226,0.012709463646730292,0.012709463646730292,0.012709463646730292,0.012709463646730292,0.012709463646730292,0.012709463646730292,0.012709463646730292,0.005764254055045992,0.005764254055045992,0.005764254055045992,0.005764254055045992,0.005764254055045992,0.005764254055045992,0.005764254055045992,1.012596689138471,1.012596689138471,1.012596689138471,1.012596689138471,1.012596689138471,1.012596689138471,1.012596689138471,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.014221538052620487,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,0.006536259530405677,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908,1.0209481516168908
v0_lang,V0+Lang,0.2436176324263215,0.2436176324263215,0.2436176324263215,0.029629776952788234,15.424026281437305,0.10574968345463276,0.029629776952788234,15.424026281437305,0.10574968345463276,0.02635264943819493,15.930632695620153,0.09641331806778908,0.0017742035124683753,27.630635056176388,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/v0_lang/vgm_bridge_v0_lerobot_video_448x224_lang_17f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.17440044051636855,0.0004479234553984221,0.0004479234553984221,0.0004479234553984221,0.0004479234553984221,0.0004479234553984221,0.0004479234553984221,0.0004479234553984221,0.9928523434545874,0.9928523434545874,0.9928523434545874,0.9928523434545874,0.9928523434545874,0.9928523434545874,0.9928523434545874,0.014603413670868247,0.014603413670868247,0.014603413670868247,0.014603413670868247,0.014603413670868247,0.014603413670868247,0.014603413670868247,0.006380999304710777,0.006380999304710777,0.006380999304710777,0.006380999304710777,0.006380999304710777,0.006380999304710777,0.006380999304710777,1.136344414271541,1.136344414271541,1.136344414271541,1.136344414271541,1.136344414271541,1.136344414271541,1.136344414271541,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.01646176926060494,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,0.007236284655938993,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219,1.1466677608432219
tail4,Tail4,0.2355193579569459,0.2355193579569459,0.2355193579569459,0.017495099658844993,17.83701538742581,0.07064478751271963,0.01481310004601255,18.528574991576438,0.06485857325606048,0.013167818309739232,19.035434062246836,0.059131453512236476,0.0027823445489048027,25.63051501274564,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/tail4/vgm_bridge_v0_lerobot_video_448x224_tail4_17f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.17469891994729814,0.0005239250948394667,0.0005239250948394667,0.0005239250948394667,0.0005239250948394667,0.0005239250948394667,0.0005239250948394667,0.0005239250948394667,0.800570795591742,0.800570795591742,0.800570795591742,0.800570795591742,0.800570795591742,0.800570795591742,0.800570795591742,0.009778875235236425,0.009778875235236425,0.009778875235236425,0.009778875235236425,0.009778875235236425,0.009778875235236425,0.009778875235236425,0.004055156344181769,0.004055156344181769,0.004055156344181769,0.004055156344181769,0.004055156344181769,0.004055156344181769,0.004055156344181769,1.4697387648659141,1.4697387648659141,1.4697387648659141,1.4697387648659141,1.4697387648659141,1.4697387648659141,1.4697387648659141,0.014073820321805604,0.014073820321805604,0.014073820321805604,0.014073820321805604,0.014073820321805604,0.014073820321805604,0.014073820321805604,0.005747618669761212,0.005747618669761212,0.005747618669761212,0.005747618669761212,0.005747618669761212,0.005747618669761212,0.005747618669761212,1.5878543454298029,1.5878543454298029,1.5878543454298029,1.5878543454298029,1.5878543454298029,1.5878543454298029,1.5878543454298029,0.01105028632783484,0.01105028632783484,0.01105028632783484,0.01105028632783484,0.01105028632783484,0.01105028632783484,0.01105028632783484,0.0045987276820275815,0.0045987276820275815,0.0045987276820275815,0.0045987276820275815,0.0045987276820275815,0.0045987276820275815,0.0045987276820275815,1.485491536247611,1.485491536247611,1.485491536247611,1.485491536247611,1.485491536247611,1.485491536247611,1.485491536247611
tail4_lang,Tail4+Lang,0.22594994213432074,0.22594994213432074,0.22594994213432074,0.018113579921191558,17.71316604814687,0.06958032352849841,0.015308964444557205,18.409401978293094,0.06404850701801479,0.013606859691208228,18.916592840258346,0.05842994316481054,0.0027907327748835087,25.62086073910006,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/tail4_lang/vgm_bridge_v0_lerobot_video_448x224_tail4_lang_17f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.17524579547685026,0.0005425158624816468,0.0005425158624816468,0.0005425158624816468,0.0005425158624816468,0.0005425158624816468,0.0005425158624816468,0.0005425158624816468,0.8141172773962944,0.8141172773962944,0.8141172773962944,0.8141172773962944,0.8141172773962944,0.8141172773962944,0.8141172773962944,0.011114261407137052,0.011114261407137052,0.011114261407137052,0.011114261407137052,0.011114261407137052,0.011114261407137052,0.011114261407137052,0.004482527550208159,0.004482527550208159,0.004482527550208159,0.004482527550208159,0.004482527550208159,0.004482527550208159,0.004482527550208159,1.5274034569581496,1.5274034569581496,1.5274034569581496,1.5274034569581496,1.5274034569581496,1.5274034569581496,1.5274034569581496,0.01612840922800657,0.01612840922800657,0.01612840922800657,0.01612840922800657,0.01612840922800657,0.01612840922800657,0.01612840922800657,0.006373538452147485,0.006373538452147485,0.006373538452147485,0.006373538452147485,0.006373538452147485,0.006373538452147485,0.006373538452147485,1.647760859215397,1.647760859215397,1.647760859215397,1.647760859215397,1.647760859215397,1.647760859215397,1.647760859215397,0.012575394063338843,0.012575394063338843,0.012575394063338843,0.012575394063338843,0.012575394063338843,0.012575394063338843,0.012575394063338843,0.0050826546825303055,0.0050826546825303055,0.0050826546825303055,0.0050826546825303055,0.0050826546825303055,0.0050826546825303055,0.0050826546825303055,1.5429265129146625,1.5429265129146625,1.5429265129146625,1.5429265129146625,1.5429265129146625,1.5429265129146625,1.5429265129146625
i2v,I2V,0.2231761240400374,0.2231761240400374,0.2231761240400374,0.019831002573482692,17.25557573095216,0.06288860458880663,0.019503790186718106,17.33441676807902,0.062073528999462724,0.01867523489636369,17.515983479302278,0.05955636082217097,0.00018294587562195375,37.93158902252108,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/i2v/vgm_bridge_v0_lerobot_video_448x224_i2v_17f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,0.17403437213033013,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,0.011201183956738183,0.011201183956738183,0.011201183956738183,0.011201183956738183,0.011201183956738183,0.011201183956738183,0.011201183956738183,0.005663433191475641,0.005663433191475641,0.005663433191475641,0.005663433191475641,0.005663433191475641,0.005663433191475641,0.005663433191475641,1.4701864328931193,1.4701864328931193,1.4701864328931193,1.4701864328931193,1.4701864328931193,1.4701864328931193,1.4701864328931193,0.01189788968812487,0.01189788968812487,0.01189788968812487,0.01189788968812487,0.01189788968812487,0.01189788968812487,0.01189788968812487,0.006017447790899915,0.006017447790899915,0.006017447790899915,0.006017447790899915,0.006017447790899915,0.006017447790899915,0.006017447790899915,1.4716609497460864,1.4716609497460864,1.4716609497460864,1.4716609497460864,1.4716609497460864,1.4716609497460864,1.4716609497460864,0.011987153386555333,0.011987153386555333,0.011987153386555333,0.011987153386555333,0.011987153386555333,0.011987153386555333,0.011987153386555333,0.005993645156069865,0.005993645156069865,0.005993645156069865,0.005993645156069865,0.005993645156069865,0.005993645156069865,0.005993645156069865,1.4953306004702784,1.4953306004702784,1.4953306004702784,1.4953306004702784,1.4953306004702784,1.4953306004702784,1.4953306004702784
i2v_lang,I2V+Lang,0.2194409780204296,0.2194409780204296,0.2194409780204296,0.01935632183449343,17.328091783620486,0.061529791448265314,0.018996815953869373,17.411977798398997,0.0606548604555428,0.018228476692456752,17.588544440424045,0.05827747751027346,0.00018294587562195375,37.93158902252108,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/i2v_lang/vgm_bridge_v0_lerobot_video_448x224_i2v_lang_17f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,0.17298654764381666,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,8.947101255582304e-05,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,2.246038334906879,0.009512607699472101,0.009512607699472101,0.009512607699472101,0.009512607699472101,0.009512607699472101,0.009512607699472101,0.009512607699472101,0.005172547626161454,0.005172547626161454,0.005172547626161454,0.005172547626161454,0.005172547626161454,0.005172547626161454,0.005172547626161454,1.3476723956399208,1.3476723956399208,1.3476723956399208,1.3476723956399208,1.3476723956399208,1.3476723956399208,1.3476723956399208,0.010094830167558282,0.010094830167558282,0.010094830167558282,0.010094830167558282,0.010094830167558282,0.010094830167558282,0.010094830167558282,0.005495299007211794,0.005495299007211794,0.005495299007211794,0.005495299007211794,0.005495299007211794,0.005495299007211794,0.005495299007211794,1.3487806200810324,1.3487806200810324,1.3487806200810324,1.3487806200810324,1.3487806200810324,1.3487806200810324,1.3487806200810324,0.010009010161394456,0.010009010161394456,0.010009010161394456,0.010009010161394456,0.010009010161394456,0.010009010161394456,0.010009010161394456,0.005420663421441437,0.005420663421441437,0.005420663421441437,0.005420663421441437,0.005420663421441437,0.005420663421441437,0.005420663421441437,1.3589092450364222,1.3589092450364222,1.3589092450364222,1.3589092450364222,1.3589092450364222,1.3589092450364222,1.3589092450364222
v0_9f,V0 9f,0.24567487370222807,0.24567487370222807,0.24567487370222807,0.029751002439297736,15.343821797859944,0.11480949306860566,0.029751002439297736,15.343821797859944,0.11480949306860566,0.023372310330159962,16.390241965152768,0.09386745560914278,0.0010468872460478451,29.83234865536594,eval_outputs/vgm_bridge_step50004_s50_16samples_parallel/v0_9f/vgm_bridge_v0_lerobot_video_448x224_9f_2gpu_gbs8_50k/step_50004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.1782110441696025,0.0001227690001706548,0.0001227690001706548,0.0001227690001706548,0.0001227690001706548,0.0001227690001706548,0.0001227690001706548,0.0001227690001706548,0.528214783062598,0.528214783062598,0.528214783062598,0.528214783062598,0.528214783062598,0.528214783062598,0.528214783062598,0.010556108450135066,0.010556108450135066,0.010556108450135066,0.010556108450135066,0.010556108450135066,0.010556108450135066,0.010556108450135066,0.004369914960939421,0.004369914960939421,0.004369914960939421,0.004369914960939421,0.004369914960939421,0.004369914960939421,0.004369914960939421,0.8239421806277438,0.8239421806277438,0.8239421806277438,0.8239421806277438,0.8239421806277438,0.8239421806277438,0.8239421806277438,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.01339176751293592,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.005617600434155096,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383,0.8324729200338383
